2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-COUNTRY_REPORTER-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-COUNTRY_REPORTER-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-CUSTOMS_CODES-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-CUSTOMS_CODES-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-DATASETS-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-DATASETS-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-FLOWS-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-FLOWS-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-FREQUENCY-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-FREQUENCY-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-HS_ALL-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-HS_ALL-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-MOS-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-MOS-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-MOT-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-MOT-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-UNITS-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-UNITS-1[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-WORLD_TRADE-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-WORLD_TRADE-1[0m
2026-04-01 12:22:20 | INFO     |  112 | data_checker.py | - | check_data_list | ✅ Все 11 папок проверены[0m
2026-04-01 12:26:51 | INFO     |   88 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/comtrade, macmap→/api/v1/comtrade[0m
2026-04-01 12:30:37 | INFO     |   88 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/systems, macmap→/api/v1/systems[0m
2026-04-01 12:31:05 | INFO     |   47 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 12:31:05 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 12:31:07 | INFO     |   89 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/systems, macmap→/api/v1/systems[0m
2026-04-01 12:32:15 | INFO     |   89 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/systems, macmap→/api/v1/systems[0m
2026-04-01 12:32:19 | INFO     |   89 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/systems, macmap→/api/v1/systems[0m
2026-04-01 12:32:27 | INFO     |   18 | api.py | - | check_data | Запрос на проверку данных[0m
2026-04-01 12:32:27 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-COUNTRY_AREAS-1[0m
2026-04-01 12:32:27 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-COUNTRY_AREAS-1[0m
2026-04-01 12:32:27 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-COUNTRY_REPORTER-1[0m
2026-04-01 12:32:27 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-COUNTRY_REPORTER-1[0m
2026-04-01 12:32:27 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-CUSTOMS_CODES-1[0m
